map_id	Description	image_file	map_width	map_height
1F	1/F	1F.png	1200	472
2F	2/F	2F.png	1200	472
3F	3/F	3F.png	1200	472
RF	R/F	RF.png	1200	485
26F	26/F	6-26F.png	1200	485
25F	25/F	6-26F.png	1200	485
23F	23/F	6-26F.png	1200	485
22F	22/F	6-26F.png	1200	485
21F	21/F	6-26F.png	1200	485
20F	20/F	6-26F.png	1200	485
19F	19/F	6-26F.png	1200	485
18F	18/F	6-26F.png	1200	485
17F	17/F	6-26F.png	1200	485
16F	16/F	6-26F.png	1200	485
15F	15/F	6-26F.png	1200	485
12F	12/F	6-26F.png	1200	485
11F	11/F	6-26F.png	1200	485
10F	10/F	6-26F.png	1200	485
9F	9/F	6-26F.png	1200	485
8F	8/F	6-26F.png	1200	485
7F	7/F	6-26F.png	1200	485
6F	6/F	6-26F.png	1200	485
GF	G/F	GF.png	1200	544
URF1	UR1/F	URF1.png	1200	1219
URF2	UR2/F	URF1.png	1200	1219
